Time,GPS Time,id,Latitude,Longitude,Altitude,GPS Precision,# Satellites,ED RSSI,GW RSSI
18:44:32,21:44:24,33,-21.777797116666665,-43.37413866666667,918.7,1,14,-104,-85
18:44:40,21:44:32,34,-21.778067216666667,-43.37437368333333,921.1,1,14,-101,-97
18:45:13,21:45:04,38,-21.77938728333333,-43.374630716666665,922.3,1,14,-88,-87
18:45:21,21:45:13,39,-21.7794591,-43.37412458333333,923.9,1,14,-91,-84
18:45:29,21:45:21,40,-21.77938513333333,-43.37368478333333,924.6,1,14,-88,-76
18:45:53,21:45:45,43,-21.77873843333333,-43.372523783333335,922.0,1,14,-99,-89
18:46:01,21:45:53,44,-21.77850798333333,-43.372185783333336,920.7,1,14,-98,-99
18:46:09,21:46:01,45,-21.778185083333334,-43.371983766666666,919.9,1,14,-100,-105
18:46:17,21:46:09,46,-21.777825033333333,-43.37199691666667,917.4,1,14,-101,-108
18:46:26,21:46:18,47,-21.777436583333333,-43.37207478333333,915.8,1,14,-97,-101
18:47:39,21:47:31,56,-21.777770816666667,-43.37407066666667,919.2,1,14,-100,-85
18:47:47,21:47:39,57,-21.77808315,-43.37435263333333,919.8,1,14,-98,-96
18:48:19,21:48:11,61,-21.779429566666668,-43.37475225,920.8,1,12,-96,-97
18:48:27,21:48:19,62,-21.77983933333333,-43.3745501,918.5,1,12,-89,-91
18:59:49,21:59:41,146,-21.772389933333333,-43.36824175,875.5,1,11,-108,-118
18:59:57,21:59:49,147,-21.77209923333333,-43.368054666666666,880.7,1,11,-115,-111
19:00:05,21:59:57,148,-21.771883666666668,-43.36777141666666,885.3,1,11,-113,-108
19:00:13,22:00:05,149,-21.771679266666663,-43.36747991666667,893.1,1,11,-110,-112
19:00:21,22:00:13,150,-21.771509766666668,-43.3672071,901.8,1,11,-106,-109
19:00:29,22:00:21,151,-21.771695916666665,-43.36701168333333,901.3,1,11,-117,-107
19:00:46,22:00:38,153,-21.772475983333333,-43.366457616666665,890.4,1,11,-97,-101
19:00:54,22:00:46,154,-21.772757966666667,-43.36620163333333,885.6,1,11,-104,-102
19:01:02,22:00:54,155,-21.772883116666662,-43.36652131666666,884.8,1,11,-109,-111
19:01:10,22:01:02,156,-21.773139466666667,-43.36664366666667,885.9,1,11,-104,-113
19:01:18,22:01:10,157,-21.773447933333333,-43.36656826666667,886.2,1,11,-107,-110
19:01:26,22:01:18,158,-21.77374023333333,-43.36648348333333,884.6,1,11,-107,-101
19:01:34,22:01:26,159,-21.774023666666668,-43.366386033333335,886.6,1,11,-106,-102
19:01:42,22:01:34,160,-21.77426488333333,-43.366214283333335,886.6,1,11,-104,-113
